system	repo	sha	dir	modules	level	describable	prose	prose_path	licence	checkable	tlc_seconds	why
PCR (polymerase chain reaction) simulation, progressively refined (clean ← stages ← product)	tlaplus_Examples	ceeaa90	specifications/glowingRaccoon	clean;stages;product	5	yes	yes		MIT	yes	0.7	`stages.tla:99` `cleanInstance == INSTANCE clean`; `product.tla:195` `stagesInstance == INSTANCE stages WITH ...`, a real two-step refinement chain, and `clean.tla:12` itself says "See refinements in stages.tla and product.tla"
Paxos consensus (Consensus spec ← Voting abstract algorithm ← Paxos message-passing algorithm)	tlaplus_Examples	ceeaa90	specifications/Paxos	Consensus;Voting;Paxos	5	yes	yes	specifications/Paxos/README	MIT	unattempted	0.0	README states the refinement chain outright: "Voting ... implements the Consensus spec," "Paxos ... implements the Voting spec" (`specifications/Paxos/README:1-19`); `Paxos.tla:3` "It refines the spec in Voting"
Paxos consensus, teaching refinement chain (Consensus → Voting → Paxos)	tlaplus_Examples	ceeaa90	specifications/PaxosHowToWinATuringAward	Voting;Paxos;Consensus	5	yes	yes	specifications/PaxosHowToWinATuringAward/README.txt	MIT	unattempted	0.0	`INSTANCE`-based refinement: `Voting.tla:264` (`C == INSTANCE Consensus`), `Paxos.tla:284` (`V == INSTANCE Voting`)
Practical SMR-style MultiPaxos log replication	tlaplus_Examples	ceeaa90	specifications/MultiPaxos-SMR	MultiPaxos	5	yes	yes	specifications/MultiPaxos-SMR/README.md	MIT	unattempted	0.0	header states "Safety constraint is defined as a clean client-viewed linearizability property upon termination" (README.md:27) and the spec models a monotonic set of sent messages between replicas (MultiPaxos.tla:5-9), a distributed consensus protocol whose correctness is defined from the client's observed request/response order
Resource allocator (top spec, scheduling implementation, and client-communication implementation refining it)	tlaplus_Examples	ceeaa90	specifications/allocator	SimpleAllocator;SchedulingAllocator;AllocatorImplementation	5	yes	yes	specifications/allocator/README	MIT	yes	1.3	`AllocatorImplementation.tla:37` `Sched == INSTANCE SchedulingAllocator`, an explicit refinement mapping from the communicating-client implementation down to the scheduling spec
Software-Defined Perimeter (SDP) zero-trust access protocol under attack: a legitimate client authenticates via single-packet authorization; an attacker observes/replays/spoofs traffic to attempt unauthorized access	tlaplus_Examples	ceeaa90	specifications/SDP_Verification/SDP_Attack_Spec	SPA_Attack	5	yes	yes		MIT	unattempted	0.0	`SPA_Attack.tla:109,151`, `uChannel`/`AuthChannel` are sequences of packet records exchanged between client, SDP controller, target server, and attacker; the spec's entire purpose (`ReplayCount`/`SpoofCount`/`ReplaySession`/`SpoofSession`, lines 139-148) is what the attacker can achieve by observing and replaying that inter-party traffic, behaviour only visible from parties interacting, no refinement needed for this call
Software-Defined Perimeter (SDP) zero-trust protocol under attack: legitimate user, SDP controller, firewall, target server, and an attacker	tlaplus_Examples	ceeaa90	specifications/SDP_Verification/SDP_Attack_New_Solution_Spec	SPA_Attack_New	5	yes	yes		MIT	unattempted	0.0	four distinct parties each get their own message channel (`uChannel` line 113, `AuthChannel` line 155, `FwCtlChannel`/`FwDataChannel` lines 207/211, `aChannel` line 270, `sChannel` line 296), each commented as "public variable of X, for other entity to operate and modify... directly" (e.g. line 121), the whole spec is about what the attacker can and cannot observe/forge across these channels; auto_level's 1 comes from all 40 variables being individually declared scalars/sets rather than one big function, which the heuristic reads as no function-valued state at all
Termination detection for diffusing computations (Dijkstra,Scholten tree algorithm)	tlaplus_Examples	ceeaa90	specifications/ewd687a	EWD687a;EWD687aPlusCal	5	yes	yes	specifications/ewd687a/README.md	MIT	unattempted	0.0	processes exchange `msgs`/`acks` and only terminate when the leader is informed via that message exchange (`VARIABLES` block, EWD687a.tla:153 onward; header EWD687a.tla:22-29 states "A busy process can send messages to other processes... We want an algorithm that informs the leader when the computation has terminated"), behaviour only visible from parties interacting
Two-phase commit with a backup transaction manager	tlaplus_Examples	ceeaa90	specifications/transaction_commit	2PCwithBTM	5	yes	no	specifications/transaction_commit/README	MIT	yes	0.7	three PlusCal process kinds, `fair process (RManager \in RM)` (line 36), `fair process (TManager=0)` (line 41), `fair process (BTManager=10)` (line 51), coordinate a commit/abort decision purely by observing each other's `rmState`/`tmState`; the added backup TM exists specifically to take over if the primary TM's decision can't be observed
Two-phase handshake hardware protocol (implements the Alternate spec)	tlaplus_Examples	ceeaa90	specifications/TwoPhase	TwoPhase;Alternate	5	yes	yes	specifications/TwoPhase/README	MIT	unattempted	0.0	README: "TwoPhase ... a theorem asserting that it implements the Alternate spec under a refinement mapping" (`specifications/TwoPhase/README`); `TwoPhase.tla:17-19` states the substitution for variable `v`
Write-through cache refining an abstract memory interface	tlaplus_Examples	ceeaa90	specifications/SpecifyingSystems/Liveness	WriteThroughCacheInstanced	5	yes	no	specifications/SpecifyingSystems/Liveness/README	MIT	unattempted	0.0	header (`WriteThroughCacheInstanced.tla:2-7`) says the module is `WriteThroughCache` with its `INSTANCE` statements hand-inlined; the inlined body (`:19-24` `M_IInit`, `M_TypeInvariant`, etc., all `M_`-prefixed) is the refinement mapping to `InternalMemory` performed "by hand" rather than via `INSTANCE`, and the project's own `.claude/rules/tla-practice.md` §2 cites this exact module as one of the 16 corpus-wide sites of a subscript under a refinement mapping
Write-through cache, refining an abstract memory interface	tlaplus_Examples	ceeaa90	specifications/SpecifyingSystems/RealTime	WriteThroughCache	5	yes	no	specifications/SpecifyingSystems/RealTime/README	MIT	unattempted	0.0	`M == INSTANCE InternalMemory WITH mem <- wmem` (line 6) is an explicit refinement mapping, the cache spec is defined in terms of implementing the abstract memory's operations
Write-through caching memory, refined against an abstract memory spec	tlaplus_Examples	ceeaa90	specifications/SpecifyingSystems/CachingMemory	WriteThroughCache;WriteThroughCacheInstanced	5	yes	yes	specifications/SpecifyingSystems/CachingMemory/README	MIT	unattempted	0.0	the README states `WriteThroughCacheInstanced.tla` is "a version of the WriteThroughCache module with the INSTANCE removed, for use with TLC", same system, and the refinement mapping ("Proving Implementation") is the chapter's whole point; `WriteThroughCache.tla:3` (VARIABLES `wmem, ctl, buf, cache, memQ`)
